Employee_Name,EmpID,Salary,Position,DOB,Sex,DateofHire,DateofTermination,Department,ManagerName,ManagerID,RecruitmentSource
"Pelletier, Ermine",10297,60270,Production Technician II,1989-07-18,{F},2011-07-05,2015-09-15,Production,Amy Dunn,11,CareerBuilder
"Perry, Shakira",10171,45998,Production Technician I,1986-07-20,{F},2011-05-16,2015-10-25,Production,Amy Dunn,11,LinkedIn
"Peters, Lauren",10032,57954,Production Technician II,1986-08-17,{F},2011-05-16,2013-02-04,Production,Ketsia Liebig,19,Indeed
"Peterson, Ebonee  ",10130,74669,Production Manager,1977-05-09,{F},2010-10-25,2016-05-18,Production,Janet King,2,Indeed
"Petingill, Shana  ",10217,74226,Production Technician II,1979-03-10,{F},2012-04-02,,Production,Brannon Miller,12,LinkedIn
"Petrowsky, Thelma",10016,93554,Data Analyst,1984-09-16,{F},2014-11-10,,IT/IS,Simon Roup,4,Employee Referral
"Pham, Hong",10050,64724,Production Technician I,1988-03-06,{M },2011-07-05,2012-11-30,Production,Brannon Miller,12,Google Search
"Pitt, Brad ",10164,47001,Production Technician I,1981-11-23,{M },2007-11-05,,Production,David Stanley,14,Google Search
"Potts, Xana",10124,61844,Area Sales Manager,1988-08-29,{F},2012-01-09,,Sales,Lynn Daneault,21,Website
"Power, Morissa",10187,46799,Production Technician I,1984-10-15,{F},2011-05-16,2018-06-04,Production,Kissy Sullivan,20,Google Search
"Punjabhi, Louis  ",10225,59472,Production Technician I,1961-06-19,{M },2014-01-06,,Production,Kelley Spirea,18,Employee Referral
"Purinton, Janine",10262,46430,Production Technician I,1970-09-22,{F},2012-09-24,2013-06-18,Production,Kissy Sullivan,20,Indeed
"Quinn, Sean",10131,83363,Software Engineer,1984-11-06,{M },2011-02-21,2015-08-15,Software Engineering,Janet King,2,Diversity Job Fair
"Rachael, Maggie",10239,95920,BI Developer,1980-05-12,{F},2016-10-02,,IT/IS,Brian Champaigne,13,Indeed
"Rarrick, Quinn",10152,61729,Production Technician I,1984-12-31,{M },2011-09-26,2018-04-07,Production,Michael Albert,22,Indeed
"Ren, Kylo",10140,61809,Area Sales Manager,1954-10-12,{M },2014-05-12,,Sales,John Smith,17,CareerBuilder
"Rhoads, Thomas",10058,45115,Production Technician I,1982-07-22,{M },2011-05-16,2016-01-15,Production,Elijiah Gray,16,LinkedIn
"Rivera, Haley  ",10011,46738,Production Technician I,1973-01-12,{F},2011-11-28,,Production,Webster Butler,,Google Search
"Roberson, May",10230,64971,Production Technician II,1981-09-05,{F},2011-09-26,2011-10-22,Production,David Stanley,14,Google Search
"Robertson, Peter",10224,55578,Production Technician II,1972-07-03,{M },2011-07-05,2012-02-08,Production,Kissy Sullivan,20,Indeed
"Robinson, Alain  ",10047,50428,Production Technician I,1974-01-07,{M },2011-01-10,2016-01-26,Production,Amy Dunn,11,Indeed
"Robinson, Cherly",10285,61422,Production Technician I,1985-01-07,{F},2011-01-10,2016-05-17,Production,Ketsia Liebig,19,Indeed
"Robinson, Elias",10020,63353,Production Technician I,1985-01-28,{M },2013-07-08,,Production,Brannon Miller,12,Employee Referral
"Roby, Lori ",10162,89883,Data Analyst,1981-10-11,{F},2015-02-16,,IT/IS,Simon Roup,4,Employee Referral
"Roehrich, Bianca",10149,120000,Principal Data Architect,1973-05-27,{F},2015-01-05,2018-11-10,IT/IS,Simon Roup,4,LinkedIn
"Roper, Katie",10086,150290,Data Architect,1972-11-21,{F},2017-01-07,,IT/IS,Brian Champaigne,13,Indeed
"Rose, Ashley  ",10054,60627,Production Technician I,1974-12-05,{F},2014-01-06,,Production,David Stanley,14,Website
"Rossetti, Bruno",10065,53180,Production Technician I,1987-03-18,{M },2011-04-04,2018-08-13,Production,Kissy Sullivan,20,Google Search
"Roup,Simon",10198,140920,IT Manager - DB,1973-04-05,{M },2013-01-20,,IT/IS,Jennifer Zamora,5,Indeed
"Ruiz, Ricardo",10222,148999,IT Manager - DB,1964-01-04,{M },2012-01-09,2015-11-04,IT/IS,Jennifer Zamora,5,Diversity Job Fair
"Saada, Adell",10126,86214,Software Engineer,1986-07-24,{F},2012-11-05,,Software Engineering,Alex Sweetwater,10,Indeed
"Saar-Beckles, Melinda",10295,47750,Production Technician I,1968-06-06,{F},2016-07-04,,Production,Kelley Spirea,18,Diversity Job Fair
"Sadki, Nore  ",10260,46428,Production Technician I,1974-12-21,{M },2009-01-05,2018-07-30,Production,Michael Albert,22,Google Search
"Sahoo, Adil",10233,57975,Production Technician II,1986-04-26,{M },2010-08-30,,Production,Kelley Spirea,18,CareerBuilder
"Salter, Jason",10229,88527,Data Analyst ,1987-12-17,{M },2015-01-05,2015-10-31,IT/IS,Simon Roup,4,LinkedIn
"Sander, Kamrin",10169,56147,Production Technician I,1988-07-10,{F},2014-09-29,,Production,Elijiah Gray,16,LinkedIn
"Sewkumar, Nori",10071,50923,Production Technician I,1975-03-10,{F},2013-09-30,,Production,Webster Butler,,Google Search
"Shepard, Anita ",10179,50750,Network Engineer,1981-04-14,{F},2014-09-30,,IT/IS,Peter Monroe,7,LinkedIn
"Shields, Seffi",10091,52087,Production Technician I,1985-08-24,{F},2013-08-19,,Production,Amy Dunn,11,LinkedIn
"Simard, Kramer",10178,87826,Data Analyst,1970-02-08,{M },2015-01-05,,IT/IS,Simon Roup,4,Employee Referral
"Singh, Nan ",10039,51920,Administrative Assistant,1988-05-19,{F},2015-05-01,,Admin Offices,Brandon R. LeBlanc,1,Website
"Sloan, Constance",10095,63878,Production Technician II,1987-11-25,{F},2009-10-26,2015-04-08,Production,Michael Albert,22,CareerBuilder
"Smith, Joe",10027,60656,Production Technician II,1963-10-30,{M },2014-09-29,,Production,Elijiah Gray,16,Indeed
"Smith, John",10291,72992,Sales Manager,1984-08-16,{M },2014-05-18,,Sales,Debra Houlihan,15,Diversity Job Fair
"Smith, Leigh Ann",10153,55000,Administrative Assistant,1987-06-14,{F},2011-09-26,2013-09-25,Admin Offices,Brandon R. LeBlanc,1,Diversity Job Fair
"Smith, Sade",10157,58939,Production Technician I,1965-02-02,{F},2013-11-11,,Production,Ketsia Liebig,19,Employee Referral
"Soto, Julia ",10119,66593,IT Support,1973-03-12,{F},2011-06-10,,IT/IS,Eric Dougall,6,LinkedIn
"Soze, Keyser",10180,87565,Sr. Network Engineer,1983-02-09,{M },2016-06-30,,IT/IS,Peter Monroe,7,LinkedIn
"Sparks, Taylor  ",10302,64021,Production Technician I,1968-07-20,{F},2012-02-20,,Production,Brannon Miller,12,Indeed
"Spirea, Kelley",10090,65714,Production Manager,1975-09-30,{F},2012-10-02,,Production,Janet King,2,LinkedIn
"Squatrito, Kristen",10030,62425,Production Technician I,1973-03-26,{F},2013-05-13,2015-06-29,Production,David Stanley,14,LinkedIn
"Stanford,Barbara  M",10278,47961,Production Technician I,1982-08-25,{F},2011-01-10,,Production,Kissy Sullivan,20,Google Search
"Stansfield, Norman",10307,58273,Area Sales Manager,1974-05-09,{M },2014-05-12,,Sales,Lynn Daneault,21,Website
"Steans, Tyrone  ",10147,63003,Accountant I,1986-09-01,{M },2014-09-29,,Admin Offices,Brandon R. LeBlanc,1,Indeed
"Stoica, Rick",10266,61355,Production Technician I,1985-03-14,{M },2014-02-17,,Production,Kelley Spirea,18,LinkedIn
"Strong, Caitrin",10241,60120,Area Sales Manager,1989-05-12,{F},2010-09-27,,Sales,John Smith,17,Indeed
"Sullivan, Kissy ",10158,63682,Production Manager,1978-03-28,{F},2009-01-08,,Production,Janet King,2,Indeed
"Sullivan, Timothy",10117,63025,Production Technician I,1982-10-07,{M },2015-01-05,,Production,Michael Albert,22,Google Search
"Sutwell, Barbara",10209,59238,Production Technician I,1968-08-15,{F},2012-05-14,,Production,Elijiah Gray,16,Indeed
"Szabo, Andrew",10024,92989,Software Engineer,1983-05-06,{M },2014-07-07,,Software Engineering,Alex Sweetwater,10,LinkedIn
"Tannen, Biff",10173,90100,BI Developer,1987-10-24,{M },2017-04-20,,IT/IS,Brian Champaigne,13,Indeed
"Tavares, Desiree  ",10221,60754,Production Technician I,1975-04-03,{F},2009-04-27,2013-04-01,Production,Webster Butler,39,Diversity Job Fair
"Tejeda, Lenora ",10146,72202,Production Technician II,1953-05-24,{F},2011-05-16,2017-07-08,Production,Elijiah Gray,16,Google Search
"Terry, Sharlene ",10161,58370,Area Sales Manager,1965-05-07,{F},2014-09-29,,Sales,Lynn Daneault,21,Indeed
"Theamstern, Sophia",10141,48413,Production Technician I,1965-05-09,{F},2011-07-05,2016-09-05,Production,Amy Dunn,11,Indeed
"Thibaud, Kenneth",10268,67176,Production Technician II,1975-09-16,{M },2007-06-25,2010-08-30,Production,Webster Butler,39,Other
"Tippett, Jeanette",10123,56339,Production Technician I,1967-06-05,{F},2013-02-18,,Production,Brannon Miller,12,Indeed
"Torrence, Jack",10013,64397,Area Sales Manager,1968-01-15,{M },2006-01-09,,Sales,Lynn Daneault,21,Indeed
"Trang, Mei",10287,63025,Production Technician I,1983-05-16,{F},2014-02-17,,Production,David Stanley,14,LinkedIn
"Tredinnick, Neville ",10044,75281,Network Engineer,1988-05-05,{M },2015-01-05,2016-02-12,IT/IS,Peter Monroe,7,CareerBuilder
"True, Edward",10102,100416,Software Engineer,1983-06-14,{M },2013-02-18,2018-04-15,Software Engineering,Alex Sweetwater,10,Diversity Job Fair
"Trzeciak, Cybil",10270,74813,Production Technician II,1985-03-15,{F},2011-01-10,2014-07-02,Production,Amy Dunn,11,LinkedIn
"Turpin, Jumil",10045,76029,Network Engineer,1969-03-31,{M },2015-03-30,,IT/IS,Peter Monroe,7,Employee Referral
"Valentin,Jackie",10205,57859,Area Sales Manager,1991-05-23,{F},2011-07-05,,Sales,John Smith,17,Indeed
"Veera, Abdellah ",10014,58523,Production Technician I,1987-01-31,{M },2012-08-13,2016-02-05,Production,Kissy Sullivan,20,LinkedIn
"Vega, Vincent",10144,88976,Production Manager,1968-10-10,{M },2011-08-01,,Production,Janet King,2,Employee Referral
"Villanueva, Noah",10253,55875,Area Sales Manager,1989-07-11,{M },2012-03-05,,Sales,John Smith,17,Website
"Voldemort, Lord",10118,113999,Database Administrator,1986-08-07,{M },2015-02-16,2017-02-22,IT/IS,Simon Roup,4,Employee Referral
"Volk, Colleen",10022,49773,Production Technician I,1986-06-03,{F},2011-09-26,2016-02-08,Production,Kelley Spirea,18,Google Search
"Von Massenbach, Anna",10183,62068,Production Technician I,1985-04-06,{F},2015-07-05,,Production,Michael Albert,22,LinkedIn
"Walker, Roger",10190,66541,Production Technician II,1976-02-10,{M },2014-08-18,,Production,Ketsia Liebig,19,Employee Referral
"Wallace, Courtney  E",10274,80512,Production Manager,1955-11-14,{F},2011-09-26,2012-01-02,Production,Janet King,2,Diversity Job Fair
"Wallace, Theresa",10293,50274,Production Technician I,1980-08-02,{F},2012-08-13,2015-09-01,Production,Elijiah Gray,16,CareerBuilder
"Wang, Charlie",10172,84903,Senior BI Developer,1981-07-08,{M },2017-02-15,,IT/IS,Brian Champaigne,13,Indeed
"Warfield, Sarah",10127,107226,Sr. Network Engineer,1978-05-02,{F},2015-03-30,,IT/IS,Peter Monroe,7,Employee Referral
"Whittier, Scott",10072,58371,Production Technician I,1987-05-24,{M },2011-01-10,2014-05-15,Production,Webster Butler,39,LinkedIn
"Wilber, Barry",10048,55140,Production Technician I,1965-09-09,{M },2011-05-16,2015-09-07,Production,Amy Dunn,11,Website
"Wilkes, Annie",10204,58062,Production Technician I,1983-07-30,{F},2011-01-10,2012-05-14,Production,Ketsia Liebig,19,Google Search
"Williams, Jacquelyn  ",10264,59728,Production Technician I,1969-10-02,{F},2012-01-09,2015-06-27,Production,Ketsia Liebig,19,Diversity Job Fair
"Winthrop, Jordan  ",10033,70507,Production Technician II,1958-11-07,{M },2013-01-07,2016-02-21,Production,Brannon Miller,12,LinkedIn
"Wolk, Hang  T",10174,60446,Production Technician II,1985-04-20,{F},2014-09-29,,Production,David Stanley,14,LinkedIn
"Woodson, Jason",10135,65893,Production Technician II,1985-05-11,{M },2014-07-07,,Production,Kissy Sullivan,20,LinkedIn
"Ybarra, Catherine ",10301,48513,Production Technician I,1982-05-04,{F},2008-09-02,2015-09-29,Production,Brannon Miller,12,Google Search
"Zamora, Jennifer",10010,220450,CIO,1979-08-30,{F},2010-04-10,,IT/IS,Janet King,2,Employee Referral
"Zhou, Julia",10043,89292,Data Analyst,1979-02-24,{F},2015-03-30,,IT/IS,Simon Roup,4,Employee Referral
"Zima, Colleen",10271,45046,Production Technician I,1978-08-17,{F},2014-09-29,,Production,David Stanley,14,LinkedIn
